site.name,display.site.name,latitude,longitude,site.type,wetland.name,source
GRME01,Great Meadow 1,44.36388384,-68.20786916,Intensive,Great Meadow,FOA
GRME02,Great Meadow 2,44.36899219,-68.20840276,Intensive,Great Meadow,FOA
GRME03,Great Meadow 3,44.36615998,-68.21154082,Intensive,Great Meadow,FOA
GRME04,Great Meadow 4,44.36662963,-68.21045519,Intensive,Great Meadow,FOA
GRME05,Great Meadow 5,44.36589325,-68.20682552,Intensive,Great Meadow,FOA
GRME06,Great Meadow 6,44.36684591,-68.20918469,Intensive,Great Meadow,FOA
GRME07,Great Meadow 7,44.36355581,-68.20860147,RAM,Great Meadow,FOA
GRME08,Great Meadow 8,44.36738168,-68.20465929,RAM,Great Meadow,FOA
GRME09,Great Meadow 9,44.36540975,-68.20980642,RAM,Great Meadow,FOA
GRME10,Great Meadow 10,44.36705864,-68.20610696,RAM,Great Meadow,FOA
GIME03,Gilmore Meadow 3,44.36146878,-68.27107472,RAM,Gilmore Meadow,FOA
GIME07,Gilmore Meadow 4,44.36175017,-68.27143516,RAM,Gilmore Meadow,FOA
R-04,Great Meadow 11,44.36867788,-68.20592193,RAM,Great Meadow,NETN
R-13,Great Meadow 12,44.36899797,-68.21184162,RAM,Great Meadow,NETN
R-19,Great Meadow 13,44.36619093,-68.20690935,RAM,Great Meadow,NETN
R-31,Gilmore Meadow 2,44.36371177,-68.2712728,RAM,Gilmore Meadow,NETN
NWCA-R304,Gilmore Meadow 1,44.36275069,-68.27162355,SEN,Gilmore Meadow,NETN
